run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.640624,0.642732,0.642740,0.636272,0.640326,30,"2827, 13801, 50, 164.49"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.078820,0.080200,0.080216,0.078532,0.078966,30,"2827, 13801, 50, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.896384,0.902536,0.903552,0.888324,0.896940,30,"2827, 13801, 50, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.095176,0.097196,0.097220,0.092728,0.095015,30,"2827, 13801, 50, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.929324,0.937004,0.937952,0.920356,0.929471,30,"2827, 13801, 50, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,1.943924,1.948952,1.950236,1.937556,1.943931,30,"2827, 13801, 50, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,1.042380,1.050160,1.051744,1.037732,1.042611,30,"2827, 13801, 50, 172.12"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A3-cuda,allocate,0.023524,0.023784,0.024960,0.023244,0.023530,30,"2827, 13801, 50, 160.51"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A3-cuda,update,0.241596,0.244632,0.245168,0.237236,0.241831,30,"2827, 13801, 50, 160.51"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A4-rust,allocate,0.035276,0.036116,0.036132,0.033752,0.035216,30,"2827, 13801, 50, 160.51"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A4-rust,update,0.269464,0.273136,0.273412,0.263328,0.269197,30,"2827, 13801, 50, 160.51"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A5-triton,allocate,0.500928,0.503432,0.503708,0.498436,0.500933,30,"2827, 13801, 50, 160.51"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A5-triton,update,0.308112,0.309880,0.311592,0.303624,0.307475,30,"2827, 13801, 50, 160.51"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A3-cuda,allocate,0.032520,0.032732,0.032748,0.032176,0.032505,30,"2827, 13801, 50, 174.14"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A3-cuda,update,0.278328,0.280500,0.281500,0.275356,0.278099,30,"2827, 13801, 50, 174.14"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A4-rust,allocate,0.041536,0.042160,0.042160,0.040812,0.041511,30,"2827, 13801, 50, 174.14"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A4-rust,update,0.291036,0.293108,0.293584,0.288992,0.291117,30,"2827, 13801, 50, 174.14"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A5-triton,allocate,0.502640,0.504796,0.505244,0.499068,0.502662,30,"2827, 13801, 50, 174.14"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A5-triton,update,0.347880,0.350112,0.350692,0.344036,0.347750,30,"2827, 13801, 50, 174.14"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A3-cuda,allocate,0.044704,0.045336,0.045508,0.044388,0.044760,30,"2827, 13801, 49, 170.87"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A3-cuda,update,0.619488,0.620928,0.621064,0.618108,0.619545,30,"2827, 13801, 49, 170.87"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A4-rust,allocate,0.051872,0.052544,0.052656,0.051076,0.051845,30,"2827, 13801, 49, 170.87"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A4-rust,update,0.596072,0.597304,0.598376,0.593276,0.595731,30,"2827, 13801, 49, 170.87"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A5-triton,allocate,0.507684,0.510144,0.510876,0.503420,0.507555,30,"2827, 13801, 49, 170.87"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,r-2.0,extent,320000,0.010000,131072,18160,0.069275,8,65536,A5-triton,update,0.773868,0.777960,0.778928,0.770000,0.773928,30,"2827, 13801, 49, 170.87"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,lf-sparse,loadfactor,320000,0.010000,18560,1160,0.017700,8,65536,A3-cuda,allocate,0.028428,0.029460,0.029500,0.028060,0.028587,30,"2827, 13801, 52, 164.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,lf-sparse,loadfactor,320000,0.010000,18560,1160,0.017700,8,65536,A3-cuda,update,0.253872,0.257380,0.258452,0.249424,0.253939,30,"2827, 13801, 52, 164.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,lf-sparse,loadfactor,320000,0.010000,18560,1160,0.017700,8,65536,A4-rust,allocate,0.042664,0.043248,0.043572,0.041684,0.042548,30,"2827, 13801, 52, 164.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,lf-sparse,loadfactor,320000,0.010000,18560,1160,0.017700,8,65536,A4-rust,update,0.274384,0.278520,0.278696,0.268792,0.274394,30,"2827, 13801, 52, 164.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,lf-sparse,loadfactor,320000,0.010000,18560,1160,0.017700,8,65536,A5-triton,allocate,0.505528,0.507412,0.508528,0.501696,0.505034,30,"2827, 13801, 52, 164.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,lf-sparse,loadfactor,320000,0.010000,18560,1160,0.017700,8,65536,A5-triton,update,0.331248,0.334060,0.334824,0.327808,0.331055,30,"2827, 13801, 52, 164.21"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,plane-320k,shape,320356,0.010000,16384,1060,0.032349,8,65536,A3-cuda,allocate,0.029404,0.029540,0.029584,0.028208,0.028989,30,"2827, 13801, 52, 160.02"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,plane-320k,shape,320356,0.010000,16384,1060,0.032349,8,65536,A3-cuda,update,0.333588,0.335264,0.335332,0.329504,0.333046,30,"2827, 13801, 52, 160.02"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,plane-320k,shape,320356,0.010000,16384,1060,0.032349,8,65536,A4-rust,allocate,0.035476,0.035824,0.036028,0.034800,0.035449,30,"2827, 13801, 52, 160.02"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,plane-320k,shape,320356,0.010000,16384,1060,0.032349,8,65536,A4-rust,update,0.344064,0.345904,0.347436,0.342260,0.344292,30,"2827, 13801, 52, 160.02"
